# Generated by tools/generate_similar_kanji_tsv.py
# Source: Kiku apps/docs/public/_kiku_db_main.tar
# Kiku commit: 68c4d00e8c2d8a61f8714c8c8075b1451ca3f77d
# Shape: KanjiInfoCompact[8] visuallySimilar
kanji_a	kanji_b	source
塾	壁	kiku:wk-visually-similar
塾	熟	kiku:wk-visually-similar
塾	熱	kiku:wk-visually-similar
墓	幕	kiku:wk-visually-similar
墓	慕	kiku:wk-visually-similar
墓	暮	kiku:wk-visually-similar
増	層	kiku:wk-visually-similar
増	憎	kiku:wk-visually-similar
増	贈	kiku:wk-visually-similar
墟	慮	kiku:wk-visually-similar
墳	憤	kiku:wk-visually-similar
壁	璧	kiku:wk-visually-similar
壊	徳	kiku:wk-visually-similar
壊	懐	kiku:wk-visually-similar
壊	聴	kiku:wk-visually-similar
壌	嬢	kiku:wk-visually-similar
壌	譲	kiku:wk-visually-similar
壮	状	kiku:wk-visually-similar
売	完	kiku:wk-visually-similar
変	恋	kiku:wk-visually-similar
夏	麦	kiku:wk-visually-similar
多	移	kiku:wk-visually-similar
夜	液	kiku:wk-visually-similar
大	太	kiku:wk-visually-similar
大	犬	kiku:wk-visually-similar
天	夫	kiku:wk-visually-similar
太	犬	kiku:wk-visually-similar
夫	失	kiku:wk-visually-similar
夫	未	kiku:wk-visually-similar
夫	末	kiku:wk-visually-similar
央	映	kiku:wk-visually-similar
央	英	kiku:wk-visually-similar
失	朱	kiku:wk-visually-similar
失	株	kiku:wk-visually-similar
失	牛	kiku:wk-visually-similar
失	生	kiku:wk-visually-similar
失	矢	kiku:wk-visually-similar
奇	寄	kiku:wk-visually-similar
奇	綺	kiku:wk-visually-similar
奈	完	kiku:wk-visually-similar
奈	宗	kiku:wk-visually-similar
奈	示	kiku:wk-visually-similar
奉	奏	kiku:wk-visually-similar
奉	棒	kiku:wk-visually-similar
奉	泰	kiku:wk-visually-similar
奏	泰	kiku:wk-visually-similar
奪	奮	kiku:wk-visually-similar
奪	薄	kiku:wk-visually-similar
如	知	kiku:wk-visually-similar
妃	改	kiku:wk-visually-similar
妙	炒	kiku:wk-visually-similar
妙	砂	kiku:wk-visually-similar
妙	秒	kiku:wk-visually-similar
妨	放	kiku:wk-visually-similar
妨	施	kiku:wk-visually-similar
妨	旅	kiku:wk-visually-similar
妨	旋	kiku:wk-visually-similar
妨	族	kiku:wk-visually-similar
妨	紡	kiku:wk-visually-similar
妨	肪	kiku:wk-visually-similar
妨	訪	kiku:wk-visually-similar
妨	防	kiku:wk-visually-similar
妹	姉	kiku:wk-visually-similar
妻	宴	kiku:wk-visually-similar
始	治	kiku:wk-visually-similar
始	胎	kiku:wk-visually-similar
姓	姪	kiku:wk-visually-similar
姓	性	kiku:wk-visually-similar
姓	牲	kiku:wk-visually-similar
委	季	kiku:wk-visually-similar
威	戚	kiku:wk-visually-similar
娘	浪	kiku:wk-visually-similar
娠	振	kiku:wk-visually-similar
娠	賑	kiku:wk-visually-similar
婦	帰	kiku:wk-visually-similar
婦	掃	kiku:wk-visually-similar
媛	援	kiku:wk-visually-similar
媛	暖	kiku:wk-visually-similar
媛	緩	kiku:wk-visually-similar
嫁	稼	kiku:wk-visually-similar
嫌	嬢	kiku:wk-visually-similar
嫌	謙	kiku:wk-visually-similar
嫌	譲	kiku:wk-visually-similar
嬢	謙	kiku:wk-visually-similar
嬢	譲	kiku:wk-visually-similar
孔	札	kiku:wk-visually-similar
孔	礼	kiku:wk-visually-similar
字	学	kiku:wk-visually-similar
字	宇	kiku:wk-visually-similar
孝	季	kiku:wk-visually-similar
孝	老	kiku:wk-visually-similar
孝	考	kiku:wk-visually-similar
孤	弧	kiku:wk-visually-similar
孤	爪	kiku:wk-visually-similar
孤	狐	kiku:wk-visually-similar
孤	瓜	kiku:wk-visually-similar
孫	後	kiku:wk-visually-similar
孫	系	kiku:wk-visually-similar
孫	遜	kiku:wk-visually-similar
宅	宇	kiku:wk-visually-similar
宇	芋	kiku:wk-visually-similar
守	寸	kiku:wk-visually-similar
完	宗	kiku:wk-visually-similar
完	示	kiku:wk-visually-similar
宗	示	kiku:wk-visually-similar
