Kanji,Rank
躊,1636
躇,1637
傘,1638
頷,1639
漁,1640
茂,1641
巧,1642
伯,1643
醒,1644
僅,1645
沼,1646
繊,1647
敢,1648
丘,1649
尚,1650
湖,1651
渇,1652
炭,1653
濁,1654
苛,1655
殻,1656
核,1657
朗,1658
宛,1659
頬,1660
呟,1661
曇,1662
蓄,1663
翔,1664
輸,1665
杉,1666
侍,1667
掌,1668
稲,1669
券,1670
賃,1671
喪,1672
囚,1673
遥,1674
漬,1675
涯,1676
艦,1677
稚,1678
鬱,1679
詫,1680
駒,1681
摩,1682
架,1683
綱,1684
票,1685
昭,1686
彦,1687
頻,1688
曖,1689
塚,1690
詐,1691
浦,1692
呑,1693
柳,1694
符,1695
粧,1696
戴,1697
浄,1698
垣,1699
兆,1700
塵,1701
詩,1702
漠,1703
慕,1704
鐘,1705
閃,1706
旨,1707
圏,1708
肯,1709
堵,1710
枠,1711
膜,1712
脂,1713
畜,1714
骸,1715
沖,1716
宴,1717
盟,1718
剛,1719
顎,1720
疾,1721
蓮,1722
憑,1723
貢,1724
伐,1725
衰,1726
飢,1727
剰,1728
薦,1729
杖,1730
俗,1731
妥,1732
哲,1733
缶,1734
礎,1735
妊,1736
荘,1737
轟,1738
仇,1739
悶,1740
拐,1741
鎧,1742
痺,1743
贅,1744
叔,1745
馳,1746
吊,1747
併,1748
囁,1749
拓,1750
纏,1751
惹,1752
抹,1753
膚,1754
滝,1755
貞,1756
耗,1757
奢,1758
堕,1759
鋼,1760
蔑,1761
繕,1762
艶,1763
穂,1764
尖,1765
錠,1766
愕,1767
咳,1768
罵,1769
寮,1770
克,1771
赴,1772
捻,1773
憤,1774
吾,1775
孝,1776
牢,1777
晒,1778
錬,1779
隆,1780
峰,1781
彫,1782
羊,1783
釘,1784
餅,1785
傑,1786
摂,1787
拙,1788
葛,1789
裾,1790
儲,1791
箇,1792
緯,1793
隷,1794
賑,1795
閣,1796
牧,1797
炊,1798
腫,1799
朱,1800
些,1801
訊,1802
抽,1803
冠,1804
憐,1805
斗,1806
嘲,1807
堀,1808
丹,1809
勿,1810
肥,1811
栗,1812
仙,1813
訝,1814
糧,1815
煩,1816
唸,1817
鷹,1818
穫,1819
扇,1820
婆,1821
挿,1822
弥,1823
鉢,1824
庇,1825
陶,1826
拗,1827
懇,1828
鶴,1829
逢,1830
佳,1831
燥,1832
胴,1833
冴,1834
肺,1835
舗,1836
滲,1837
謙,1838
怨,1839
綿,1840
棟,1841
崖,1842
芳,1843
肘,1844
陛,1845
弊,1846
煽,1847
窺,1848
凛,1849
爵,1850
冥,1851
梨,1852
迂,1853
紡,1854
邸,1855
擬,1856
珠,1857
寛,1858
崇,1859
撒,1860
亭,1861
虹,1862
窟,1863
胡,1864
括,1865
挫,1866
箸,1867
謹,1868
泰,1869
撲,1870
痩,1871
鶏,1872
俯,1873
悦,1874
俊,1875
舟,1876
蛮,1877
奔,1878
廷,1879
吠,1880
蜜,1881
蜂,1882
芯,1883
凌,1884
遜,1885
爺,1886
岐,1887
慨,1888
稀,1889
桐,1890
搬,1891
桁,1892
綾,1893
掻,1894
暁,1895
峙,1896
紐,1897
穿,1898
娠,1899
墜,1900
琴,1901
磁,1902
嗟,1903
菊,1904
径,1905
墨,1906
軸,1907
瓦,1908
紳,1909
萌,1910
簿,1911
喝,1912
斎,1913
匿,1914
畏,1915
頓,1916
宵,1917
襟,1918
姓,1919
粛,1920
鎌,1921
蝶,1922
苗,1923
棲,1924
拷,1925
漆,1926
乞,1927
噌,1928
髄,1929
槌,1930
傲,1931
咎,1932
刹,1933
綻,1934
咆,1935
顕,1936
腸,1937
搾,1938
恒,1939
猶,1940
腑,1941
盆,1942
甚,1943
批,1944
祥,1945
刈,1946
庶,1947
迅,1948
巾,1949
垢,1950
昏,1951
聡,1952
朽,1953
郵,1954
獅,1955
貝,1956
煌,1957
禍,1958
訂,1959
昂,1960
咄,1961
秩,1962
云,1963
霞,1964
虜,1965
菌,1966
丼,1967
諭,1968
鱗,1969
攣,1970
啓,1971
塾,1972
鞄,1973
芋,1974
邦,1975
兎,1976
澤,1977
湾,1978
宜,1979
培,1980
彷,1981
狐,1982
逝,1983
殖,1984
呻,1985
鉱,1986
溝,1987
瞑,1988
只,1989
詠,1990
某,1991
猟,1992
浩,1993
闊,1994
莫,1995
此,1996
呈,1997
擁,1998
踵,1999
勃,2000
哮,2001
淵,2002
萎,2003
貪,2004
筈,2005
軋,2006
鉛,2007
炉,2008
蘭,2009
婿,2010
佇,2011
轄,2012
孔,2013
郭,2014
睦,2015
恭,2016
儚,2017
搭,2018
膳,2019
埃,2020
曹,2021
賜,2022
帆,2023
洒,2024
厨,2025
牽,2026
嗜,2027
閥,2028
踪,2029
俳,2030
薙,2031
汲,2032
渾,2033
蔽,2034
鷲,2035
脆,2036
銅,2037
鞭,2038
頰,2039
慶,2040
盲,2041
需,2042
奨,2043
噓,2044
嚇,2045
疫,2046
柴,2047
逐,2048
淫,2049
辻,2050
串,2051
拉,2052
韻,2053
瞭,2054
巫,2055
朴,2056
炸,2057
羞,2058
愁,2059
陳,2060
囮,2061
瞼,2062
麺,2063
劫,2064
爛,2065
嚙,2066
践,2067
葵,2068
杏,2069
痙,2070
掠,2071
慄,2072
紗,2073
曰,2074
該,2075
灼,2076
騰,2077
朧,2078
倣,2079
薫,2080
檻,2081
淹,2082
閑,2083
蠢,2084
瑞,2085
欄,2086
狽,2087
焚,2088
瞥,2089
枢,2090
謳,2091
躙,2092
藍,2093
裟,2094
徨,2095
遍,2096
淀,2097
尉,2098
弘,2099
袈,2100
暦,2101
嗚,2102
挽,2103
猪,2104
咽,2105
雀,2106
韓,2107
玩,2108
廻,2109
皺,2110
槽,2111
屍,2112
殲,2113
尿,2114
雫,2115
耕,2116
酌,2117
剝,2118
媚,2119
妃,2120
抉,2121
蹂,2122
楚,2123
壺,2124
蜘,2125
蚊,2126
吟,2127
鞘,2128
笠,2129
媒,2130
喘,2131
絹,2132
摑,2133
賄,2134
蛛,2135
嬌,2136
烏,2137
昆,2138
醸,2139
餓,2140
摯,2141
嵌,2142
錆,2143
砦,2144
卿,2145
沌,2146
埒,2147
嶋,2148
遡,2149
弦,2150
楼,2151
旬,2152
繫,2153
飴,2154
又,2155
鳩,2156
廉,2157
蛍,2158
昌,2159
颯,2160
娯,2161
癪,2162
玲,2163
柵,2164
欧,2165
贄,2166
紺,2167
暫,2168
橘,2169
祐,2170
椎,2171
駕,2172
捌,2173
瀕,2174
凪,2175
凹,2176
圭,2177
蝕,2178
喩,2179
采,2180
釜,2181
咥,2182
竦,2183
措,2184
桂,2185
毅,2186
螺,2187
哉,2188
炒,2189
磯,2190
斧,2191
憲,2192
腔,2193
桶,2194
穢,2195
衡,2196
塀,2197
惧,2198
縋,2199
薇,2200
郊,2201
蕩,2202
莉,2203
薔,2204
岳,2205
淑,2206
痒,2207
隻,2208
糞,2209
搔,2210
秤,2211
髭,2212
